,Company_Name,Company_Type,HeadQuater,Company_Age,Total_employee,reviews,ratings
0,TCS,Public,"Mumbai,Maharashtra + 244 more",54 years old,1 Lakh+ Employees (India),(41.9k Reviews),3.9
1,Accenture,Public,"Dublin,Dublin + 132 more",33 years old,1 Lakh+ Employees (India),(27.9k Reviews),4.1
2,Cognizant,Private,"Teaneck,New Jersey + 88 more",28 years old,1 Lakh+ Employees (India),(25.3k Reviews),4
3,ICICI Bank,Public,"Mumbai,Maharashtra + 996 more",28 years old,50k-1 Lakh Employees (India),(32.2k Reviews),4
4,Wipro,Public,"Bangalore/Bengaluru,Karnataka + 254 more",77 years old,1 Lakh+ Employees (India),(23.8k Reviews),3.9
5,HDFC Bank,Public,"Mumbai,Maharashtra + 1118 more",28 years old,1 Lakh+ Employees (India),(33.3k Reviews),4
6,Capgemini,Public,Paris + 71 more,55 years old,1 Lakh+ Employees (India),(20.5k Reviews),3.9
7,HCL Technologies,Public,"Noida,Uttar Pradesh + 159 more",46 years old,1 Lakh+ Employees (India),(20.1k Reviews),3.9
8,Infosys,Public,"Bangalore/Bengaluru,Karnataka + 118 more",41 years old,1 Lakh+ Employees (India),(24.1k Reviews),4
9,Tech Mahindra,Public,"Pune,Maharashtra + 184 more",36 years old,50k-1 Lakh Employees (India),(18.7k Reviews),3.7
10,Genpact,Private,"New York,New York + 61 more",25 years old,50k-1 Lakh Employees (India),(18.8k Reviews),4
11,Axis Bank,Public,"Mumbai,Maharashtra + 1000 more",29 years old,50k-1 Lakh Employees (India),(17k Reviews),3.9
12,IBM,Public,"Armonk,New York + 108 more",111 years old,1 Lakh+ Employees (India),(13.9k Reviews),4.2
13,Concentrix Corpo...,Public,"Fremont,California + 63 more",39 years old,10k-50k Employees (India),(13.4k Reviews),4.1
14,Amazon,Private,"Seattle,Washington + 329 more",28 years old,1 Lakh+ Employees (India),(13.3k Reviews),4.2
15,Larsen & Toubro ...,Public,"Mumbai,Maharashtra + 491 more",84 years old,10k-50k Employees (India),(17.8k Reviews),4
16,Reliance jio,Public,"Navi Mumbai,Maharashtra + 906 more",15 years old,10k-50k Employees (India),(13k Reviews),4
17,Vodafone Idea,Public,"Gandhinagar,Gujrat + 550 more",4 years old,10k-50k Employees (India),(12.9k Reviews),4.3
18,HDB Financial Se...,Private,"Ahmedabad,Gujrat + 713 more",15 years old,1 Lakh+ Employees (India),(11.8k Reviews),4
19,Teleperformance,Private,Paris + 113 more,44 years old,50k-1 Lakh Employees (India),(9.3k Reviews),3.6
20,Kotak Mahindra B...,Public,"Mumbai,Maharashtra + 459 more",19 years old,10k-50k Employees (India),(12.3k Reviews),3.9
21,Reliance Industr...,Public,"Navi Mumbai,Maharashtra + 416 more",49 years old,1 Lakh+ Employees (India),(36.9k Reviews),4.1
22,Bharti Airtel,Public,"Gurgaon/Gurugram,Haryana + 467 more",27 years old,5k-10k Employees (India),(11.6k Reviews),4.1
23,Tata Motors,Public,"Pune,Maharashtra + 374 more",77 years old,50k-1 Lakh Employees (India),(8.3k Reviews),4.1
24,Deloitte,Private,"New York,New York + 134 more",177 years old,10k-50k Employees (India),(8.2k Reviews),4.1
25,Reliance Retail,Private,"Navi Mumbai,Maharashtra + 525 more",16 years old,1 Lakh+ Employees (India),(12.5k Reviews),4.1
26,Mahindra & Mahin...,Public,"Mumbai,Maharashtra + 389 more",77 years old,10k-50k Employees (India),(18.9k Reviews),4.1
27,IndusInd Bank,Public,"Gurgaon/Gurugram,Haryana + 535 more",28 years old,10k-50k Employees (India),(6.2k Reviews),3.8
28,WNS,Private,"Mumbai,Maharashtra + 20 more",26 years old,10k-50k Employees (India),(6.1k Reviews),3.7
29,DXC Technology,Public,"Minato,Tokyo + 55 more",31 years old,10k-50k Employees (India),(6.2k Reviews),3.9
30,Hinduja Global S...,Public,"Bangalore/Bengaluru,Karnataka + 74 more",22 years old,1k-5k Employees (India),(5.6k Reviews),4
31,Maruti Suzuki,Public,"New Delhi,Delhi + 364 more",39 years old,10k-50k Employees (India),(5.4k Reviews),4.1
32,Samsung,Private,"Suwon-Si,Gyeonggi-Do + 410 more",84 years old,50k-1 Lakh Employees (India),(7.5k Reviews),4.1
33,Ernst & Young,Private,London + 68 more,20 years old,50k-1 Lakh Employees (India),(5.2k Reviews),3.8
34,Infosys BPM,"Bangalore/Bengaluru,Karnataka + 43 more",20 years old,10k-50k Employees (India),,(5.1k Reviews),4
35,HSBC,Private,"Pune,Maharashtra + 54 more",20 years old,10k-50k Employees (India),(5.3k Reviews),4.1
36,Ericsson,Private,"Stockholm,Stockholm County + 126 more",146 years old,10k-50k Employees (India),(4.9k Reviews),4.3
37,Bajaj Finserv,Public,"Pune,Maharashtra + 614 more",15 years old,10k-50k Employees (India),(12.3k Reviews),4.1
38,BYJU'S,Private,"Bangalore,Karnataka + 143 more",11 years old,1k-5k Employees (India),(8.7k Reviews),3.7
39,Conneqt Business...,Private,"Mumbai,Maharashtra + 143 more",20 years old,10k-50k Employees (India),(4.5k Reviews),3.8
40,Dr. Reddy's,Public,"Hyderabad/Secunderabad,Telangana + 127 more",36 years old,10k-50k Employees (India),(4.6k Reviews),4.2
41,IDFC FIRST Bank,Public,"Mumbai,Maharashtra + 346 more",4 years old,10k-50k Employees (India),(4.5k Reviews),4
42,Startek,Public,"Mumbai,Maharashtra + 51 more",5 years old,5k-10k Employees (India),(4.4k Reviews),3.5
43,Jana Small Finan...,Public,"Bangalore/Bengaluru,Karnataka + 300 more",16 years old,10k-50k Employees (India),(4.4k Reviews),3.9
44,Sutherland Globa...,Private,"Pittsford,New York + 38 more",36 years old,10k-50k Employees (India),(4.7k Reviews),3.8
45,Mphasis,Public,"Bangalore/Bengaluru,Karnataka + 42 more",22 years old,1k-5k Employees (India),(4.3k Reviews),3.8
46,Cipla Pharmaceut...,Public,"Mumbai,Maharashtra + 181 more",87 years old,10k-50k Employees (India),(4.3k Reviews),4.1
47,ICICI Prudential...,Public,"Mumbai,Maharashtra + 392 more",22 years old,10k-50k Employees (India),(4.2k Reviews),4.1
48,Yes Bank,Public,"Mumbai,Maharashtra + 336 more",18 years old,10k-50k Employees (India),(4.1k Reviews),4
49,Bajaj Allianz Li...,Private,Pune + 419 more,21 years old,10k-50k Employees (India),(4.1k Reviews),4.2
50,Asian Paints,Public,"Mumbai,Maharashtra + 316 more",80 years old,10k-50k Employees (India),(4.6k Reviews),4.3
51,Lupin,Public,"Mumbai,Maharashtra + 124 more",54 years old,10k-50k Employees (India),(4k Reviews),4.2
52,NTT DATA,Private,"Chiyoda City,Tokyo + 36 more",34 years old,10k-50k Employees (India),(7.6k Reviews),4.1
53,Indian Army,Public,"New Delhi,Delhi + 260 more",127 years old,1 Lakh+ Employees (India),(3.9k Reviews),4.7
54,HDFC LIFE,Public,"Mumbai,Maharashtra + 380 more",22 years old,10k-50k Employees (India),(3.8k Reviews),4.1
55,Home Credit Fina...,Private,Gurugram + 98 more,10 years old,10k-50k Employees (India),(3.8k Reviews),4.2
56,EXL Service,Private,"New York City,New York + 31 more",23 years old,10k-50k Employees (India),(4.7k Reviews),3.9
57,Udaan,Private,"Bangalore,Karnataka + 287 more",6 years old,10k-50k Employees (India),(3.7k Reviews),4.2
58,Zydus Cadila,Public,"Ahmedabad, India + 129 more",70 years old,10k-50k Employees (India),(4.5k Reviews),4.1
59,Bajaj Finance,Private,"Pune,Maharashtra + 574 more",35 years old,1k-5k Employees (India),(3.5k Reviews),4.2
60,L&T Infotech,Public,"Mumbai,Maharashtra + 78 more",26 years old,10k-50k Employees (India),(3.5k Reviews),3.9
61,Hindustan Unilev...,Public,"Mumbai,Maharashtra + 331 more",89 years old,10k-50k Employees (India),(5.6k Reviews),4.3
62,PwC,Partnership,London + 58 more,24 years old,5k-10k Employees (India),(3.4k Reviews),3.8
63,ITC,Public,"Kolkata,West Bengal + 212 more",47 years old,10k-50k Employees (India),(6.8k Reviews),3.9
64,Hewlett-Packard ...,Private,"Houston,Texas + 84 more",83 years old,10k-50k Employees (India),(4.8k Reviews),4.3
65,OPPO,Public,"Dongguan,Guangdong + 304 more",18 years old,10k-50k Employees (India),(3.5k Reviews),4
66,Ujjivan Small Fi...,Public,"Bangalore/Bengaluru,Karnataka + 365 more",5 years old,10k-50k Employees (India),(3.4k Reviews),4.1
67,UltraTech Cement,Public,"Mumbai,Maharashtra + 315 more",39 years old,10k-50k Employees (India),(3.7k Reviews),4.3
68,Paytm,Public,Noida + 219 more,12 years old,10k-50k Employees (India),(4.1k Reviews),3.7
69,Intelenet Global...,Private,"Mumbai,Maharashtra + 56 more",22 years old,10k-50k Employees (India),(3.3k Reviews),3.7
70,Shapoorji Pallon...,Private,"Mumbai,Maharashtra + 131 more",157 years old,1k-5k Employees (India),(5k Reviews),4.4
71,IIFL,Public,"Mumbai,Maharashtra + 421 more",27 years old,5k-10k Employees (India),(3.2k Reviews),3.9
72,Ashok Leyland,Public,"Chennai,Tamil Nadu + 180 more",74 years old,10k-50k Employees (India),(3.8k Reviews),4.1
73,Mahindra & Mahin...,Public,"Mumbai,Maharashtra + 528 more",31 years old,10k-50k Employees (India),(3.2k Reviews),4.3
74,Shriram Transpor...,Public,"Mumbai,Maharashtra + 622 more",43 years old,10k-50k Employees (India),(5k Reviews),4.2
75,Sun Pharmaceutic...,Public,Mumbai + 136 more,39 years old,10k-50k Employees (India),(3.7k Reviews),4.1
76,Reliance Communi...,Public,"Navi Mumbai,Maharashtra + 364 more",20 years old,10k-50k Employees (India),(3.5k Reviews),4
77,KPMG,Partnership,"Amstelveen,North Holland + 51 more",35 years old,10k-50k Employees (India),(3.1k Reviews),3.8
78,Aurobindo Pharma,Public,"Hyderabad/Secunderabad,Telangana + 48 more",36 years old,1k-5k Employees (India),(3.3k Reviews),4.1
79,Apollo Hospitals,Public,"San Francisco,California + 159 more",39 years old,50k-1 Lakh Employees (India),(4.8k Reviews),4.1
80,Vivo,Private,"Gurgaon/Gurugram,Haryana + 307 more",13 years old,5k-10k Employees (India),(3.1k Reviews),4.1
81,JP Morgan Chase,Private,"New York,New York + 20 more",22 years old,10k-50k Employees (India),(3.1k Reviews),4.2
82,Mindtree,Public,"Bangalore/Bengaluru,Karnataka + 23 more",23 years old,10k-50k Employees (India),(3.1k Reviews),4.1
83,Future Group,Private,"Mumbai,Maharashtra + 192 more",9 years old,50k-1 Lakh Employees (India),(9.8k Reviews),4.2
84,Nokia,Private,"Espoo,Southern Finland + 166 more",157 years old,10k-50k Employees (India),(3.1k Reviews),4.4
85,Siemens,Public,"Munich,Bavaria + 99 more",30 years old,10k-50k Employees (India),(3k Reviews),4.2
86,Fidelity Nationa...,Private,"Jacksonville,Florida + 30 more",17 years old,10k-50k Employees (India),(3.1k Reviews),4.1
87,Wells Fargo Indi...,Private,"San Francisco,California + 11 more",24 years old,10k-50k Employees (India),(2.9k Reviews),4.2
88,eClerx,Public,"Mumbai,Maharashtra + 15 more",22 years old,5k-10k Employees (India),(2.9k Reviews),3.6
89,Wipro BPS,Bengaluru + 36 more,22 years old,1 Lakh+ Employees (India),,(2.9k Reviews),3.8
90,Bandhan Bank,Public,"Kolkata,West Bengal + 488 more",21 years old,10k-50k Employees (India),(3.1k Reviews),4
91,Max Life Insuran...,"Gurgaon/Gurugram,Haryana + 261 more",22 years old,10k-50k Employees (India),,(2.8k Reviews),4.2
92,Oyo Rooms,Private,"Gurgaon,Haryana + 101 more",9 years old,1k-5k Employees (India),(3k Reviews),3.6
93,TVS Motor,Public,"Chennai,Tamil Nadu + 225 more",43 years old,5k-10k Employees (India),(3k Reviews),4.1
94,AU Small Finance...,Private,"Jaipur,Rajasthan + 273 more",26 years old,10k-50k Employees (India),(3.7k Reviews),4.1
95,Cyient,Public,"Hyderabad/Secunderabad,Telangana + 26 more",31 years old,10k-50k Employees (India),(2.8k Reviews),3.7
96,JLL,Private,"Mumbai,Maharashtra + 58 more",25 years old,10k-50k Employees (India),(2.8k Reviews),4.3
97,Delhivery,Private,"Delhi,NCT + 418 more",11 years old,10k-50k Employees (India),(2.7k Reviews),4.2
98,Tata Projects,Public,"Mumbai,Maharashtra + 185 more",43 years old,5k-10k Employees (India),(2.7k Reviews),4.2
99,Hero MotoCorp,Public,"Gurgaon/Gurugram,Haryana + 257 more",38 years old,5k-10k Employees (India),(2.8k Reviews),4.3
100,Oracle,Public,"Austin,Texas + 29 more",45 years old,10k-50k Employees (India),(3.4k Reviews),3.9
101,First Source,Public,"Mumbai,Maharashtra + 45 more",21 years old,5k-10k Employees (India),(2.7k Reviews),4
102,JSW Steel,Public,"Mumbai,Maharashtra + 86 more",40 years old,10k-50k Employees (India),(4k Reviews),3.9
103,Hyundai Motor,Private,Seoul + 218 more,55 years old,5k-10k Employees (India),(3.6k Reviews),4.1
104,Atos Syntel,Private,"Troy,Michigan + 14 more",42 years old,10k-50k Employees (India),(4.3k Reviews),3.7
105,Bosch,Public,"Gerlingen,Baden-Wuerttemberg + 83 more",136 years old,10k-50k Employees (India),(3.5k Reviews),4.3
106,JustDial,Public,"Mumbai,Maharashtra + 122 more",26 years old,10k-50k Employees (India),(2.6k Reviews),3.6
107,TATA Steel,Public,"Mumbai,Maharashtra + 117 more",115 years old,10k-50k Employees (India),(4k Reviews),4.1
108,Hexaware Technol...,Public,"Mumbai,Maharashtra + 29 more",32 years old,10k-50k Employees (India),(2.7k Reviews),3.8
109,iEnergizer,Private,"Noida,Uttar Pradesh + 14 more",22 years old,5k-10k Employees (India),(2.4k Reviews),3.5
110,Dell,Private,"Round Rock,Texas + 84 more",38 years old,50k-1 Lakh Employees (India),(3.4k Reviews),4.2
111,Viatris,"Canonsburg,Pennsylvania + 60 more",61 years old,1k-5k Employees (India),,(2.4k Reviews),4.3
112,Godrej & Boyce M...,Private,"Mumbai,Maharashtra + 119 more",125 years old,10k-50k Employees (India),(2.5k Reviews),3.9
113,Megha Engineerin...,Private,"Hyderabad/Secunderabad,Telangana + 177 more",33 years old,1k-5k Employees (India),(2.4k Reviews),4.2
114,Quess,Public,Bangalore + 284 more,15 years old,10k-50k Employees (India),(7.3k Reviews),3.9
115,BNY Mellon,Private,"New York City,New York + 10 more",18 years old,10k-50k Employees (India),(2.3k Reviews),4.2
116,Omega Healthcare,Private,Florida + 25 more,18 years old,1k-5k Employees (India),(2.3k Reviews),3.8
117,Fullerton India,Private,Mumbai + 376 more,15 years old,10k-50k Employees (India),(2.3k Reviews),4.2
118,SBI Cards & Paym...,Public,"Gurgaon/Gurugram,Haryana + 223 more",24 years old,5k-10k Employees (India),(2.3k Reviews),3.8
119,UnitedHealth,Private,"Minnetonka,Minnesota + 11 more",45 years old,10k-50k Employees (India),(4k Reviews),4.2
120,Aditya Birla Fas...,Private,Mumbai + 186 more,7 years old,10k-50k Employees (India),(2.7k Reviews),4.3
121,Axis Direct,Private,"San Mateo,California + 264 more",11 years old,1k-5k Employees (India),(2.3k Reviews),4
122,Cgi Group,Private,"Montreal,Quebec + 14 more",31 years old,10k-50k Employees (India),(2.3k Reviews),4.2
123,Manappuram Finan...,Public,"Thrissur/Trichur,Kerala + 348 more",73 years old,10k-50k Employees (India),(2.9k Reviews),4
124,Wipro Consumer ...,Private,"Bangalore/Bengaluru,Karnataka + 69 more",77 years old,1k-5k Employees (India),(2.9k Reviews),3.8
125,Dominos Pizza,Public,"Ypsilanti,Michigan + 196 more",62 years old,1k-5k Employees (India),(2.3k Reviews),4.1
126,L&T Construction,Public,Chennai + 236 more,78 years old,10k-50k Employees (India),(2.5k Reviews),4
127,IQVIA,Partnership,"Durham,North Carolina + 39 more",40 years old,10k-50k Employees (India),(2.2k Reviews),4.2
128,Nagarjuna Constr...,Public,"Hyderabad/Secunderabad,Telangana + 164 more",24 years old,1k-5k Employees (India),(2.3k Reviews),4.2
129,Royal Enfield,Private,"Gurgaon/Gurugram,Haryana + 222 more",67 years old,5k-10k Employees (India),(2.2k Reviews),4.2
130,D Mart,Private,"Mumbai,Maharashtra + 143 more",22 years old,5k-10k Employees (India),(2.2k Reviews),4
131,CBRE,Private,"Los Angeles,California + 49 more",116 years old,10k-50k Employees (India),(2.2k Reviews),4.3
132,JBM Group,Public,"Gurgaon/Gurugram,Haryana + 71 more",39 years old,1k-5k Employees (India),(2.7k Reviews),4.1
133,State Bank of In...,"Mumbai,Maharashtra + 318 more",216 years old,1 Lakh+ Employees (India),,(2.2k Reviews),3.9
134,Tata Communicati...,Public,"Mumbai,Maharashtra + 87 more",36 years old,10k-50k Employees (India),(2.9k Reviews),4.2
135,ICICI Lombard Ge...,Public,"Mumbai,Maharashtra + 191 more",21 years old,5k-10k Employees (India),(2.1k Reviews),3.8
136,Equitas Small Fi...,Private,"Chennai,Tamil Nadu + 272 more",15 years old,1k-5k Employees (India),(2.1k Reviews),4.1
137,Muthoot Fincorp,Private,"Trivandrum/Thiruvananthapuram,Kerala + 394 more",135 years old,10k-50k Employees (India),(2.1k Reviews),4
138,Flex,Private,San Jose + 35 more,53 years old,10k-50k Employees (India),(2.1k Reviews),4.1
139,LG Electronics,Public,"Seoul,Seoul + 181 more",64 years old,5k-10k Employees (India),(2.1k Reviews),4.1
140,Amdocs,Private,"Chesterfield,Missouri + 11 more",40 years old,10k-50k Employees (India),(2.1k Reviews),4.1
141,Motherson Sumi S...,Public,"Noida,Uttar Pradesh + 61 more",36 years old,1k-5k Employees (India),(3.3k Reviews),3.9
142,Sodexo,Private,Issy Les Moulineaux + 104 more,14 years old,10k-50k Employees (India),(2.2k Reviews),4.1
143,L&T Financial Se...,Public,"Mumbai,Maharashtra + 366 more",28 years old,10k-50k Employees (India),(2.1k Reviews),4.1
144,Hetero Drugs,Private,"Hyderabad/Secunderabad,Telangana + 30 more",29 years old,1k-5k Employees (India),(2.4k Reviews),4
145,John Deere,Private,"Moline,Illinois + 89 more",21 years old,1k-5k Employees (India),(2.3k Reviews),4.4
146,Ford Motor,Public,"Dearborn,Michigan + 97 more",119 years old,5k-10k Employees (India),(2.4k Reviews),4.5
147,UST,Private,"Aliso Viejo,California + 32 more",21 years old,10k-50k Employees (India),(2.2k Reviews),4.1
148,Ecom Express,Private,"Gurgaon,Haryana + 444 more",10 years old,10k-50k Employees (India),(2k Reviews),4.2
149,Bosch Global Sof...,Private,Gerlingen + 18 more,32 years old,10k-50k Employees (India),(2k Reviews),4.2
150,Alembic Pharmace...,Public,"Vadodara/Baroda,Gujrat + 116 more",115 years old,5k-10k Employees (India),(2k Reviews),4.1
151,Whitehat jr,Private,"Mumbai,Maharashtra + 44 more",4 years old,5k-10k Employees (India),(2k Reviews),3.9
152,Bajaj Auto,Public,"Pune,Maharashtra + 192 more",77 years old,201-500 Employees (India),(5.5k Reviews),4.1
153,Abbott Healthcar...,Public,"Illinois City,Illinois + 136 more",31 years old,10k-50k Employees (India),(3.3k Reviews),4.1
154,SBI Life Insuran...,Public,"Mumbai,Maharashtra + 395 more",21 years old,10k-50k Employees (India),(2k Reviews),3.8
155,Simplex Infrastr...,Public,"Kolkata,West Bengal + 118 more",98 years old,1k-5k Employees (India),(2.2k Reviews),3.7
156,Muthoot Group,Public,"Wedel,Schleswig-holstein + 314 more",135 years old,1k-5k Employees (India),(4.2k Reviews),3.6
157,Wipro Enterprise...,Bangalore + 65 more,77 years old,1 Lakh+ Employees (India),,(2k Reviews),3.8
158,Hindustan Coca C...,Private,Bangalore + 163 more,25 years old,1k-5k Employees (India),(2k Reviews),4.4
159,Cholamandalam In...,Private,"Chennai,Tamil Nadu + 450 more",44 years old,1k-5k Employees (India),(2k Reviews),4.3
160,KEC Internationa...,Public,"Mumbai,Maharashtra + 189 more",77 years old,5k-10k Employees (India),(2k Reviews),4.2
161,Arvind Group,Public,"Ahmedabad,Gujrat + 128 more",91 years old,10k-50k Employees (India),(2.2k Reviews),4.1
162,Subros,Public,"Noida,Uttar Pradesh + 31 more",37 years old,1k-5k Employees (India),(2k Reviews),4
163,Indiamart Interm...,Private,"Noida,Uttar Pradesh + 92 more",26 years old,10k-50k Employees (India),(2k Reviews),3.8
164,Gati kwe,Private,"Hyderabad/Secunderabad,Telangana + 143 more",10 years old,1k-5k Employees (India),(1.9k Reviews),4.1
165,Schneider Electr...,Private,Paris + 62 more,23 years old,10k-50k Employees (India),(3.5k Reviews),4.2
166,Thermax,Public,"Pune,Maharashtra + 114 more",42 years old,1k-5k Employees (India),(2.1k Reviews),4.3
167,BigBasket,Private,"Bangalore,Karnataka + 67 more",11 years old,5k-10k Employees (India),(2k Reviews),4.2
168,Intas Pharmaceut...,Private,"Ahmedabad,Gujrat + 91 more",22 years old,5k-10k Employees (India),(1.9k Reviews),4.3
169,GlobalLogic,Private,"San Jose,California + 21 more",22 years old,5k-10k Employees (India),(1.9k Reviews),4
170,Shoppers Stop,Public,"Mumbai,Maharashtra + 53 more",31 years old,10k-50k Employees (India),(2k Reviews),4.3
171,NatWest Group,Chennai + 17 more,10k-50k Employees (India),,,(1.9k Reviews),4.1
172,VE Commercial Ve...,Private,"Gurgaon/Gurugram,Haryana + 100 more",14 years old,1k-5k Employees (India),(1.9k Reviews),4.1
173,Indian Air Force,Private,"New Delhi,Delhi + 98 more",90 years old,1 Lakh+ Employees (India),(1.9k Reviews),4.6
174,Varun Beverages,Public,"Gurgaon/Gurugram,Haryana + 180 more",27 years old,5k-10k Employees (India),(1.9k Reviews),4
175,Muthoot Finance,Public,"Kochi/Cochin,Kerala + 367 more",83 years old,10k-50k Employees (India),(1.8k Reviews),3.6
176,McDonald's,Private,"Chicago,Illinois + 113 more",67 years old,5k-10k Employees (India),(1.8k Reviews),4.3
177,Suzlon Group,Public,"Pune,Maharashtra + 80 more",27 years old,5k-10k Employees (India),(1.8k Reviews),4.2
178,Atos,Private,"Vilnius,Vilniaus Apskritis + 30 more",25 years old,10k-50k Employees (India),(6.1k Reviews),3.8
179,Cummins,"Columbus,Indiana + 74 more",60 years old,10k-50k Employees (India),,(1.8k Reviews),4.4
180,DTDC Express,Private,"Bangalore/Bengaluru,Karnataka + 183 more",32 years old,1k-5k Employees (India),(1.8k Reviews),4
181,CMS IT Services,Private,"Bangalore,Karnataka + 110 more",8 years old,5k-10k Employees (India),(1.8k Reviews),3.2
182,Lava Internation...,Public,"Noida,Uttar Pradesh + 200 more",13 years old,1k-5k Employees (India),(1.8k Reviews),4.2
183,Macleods Pharmac...,Public,"Mumbai,Maharashtra + 72 more",36 years old,5k-10k Employees (India),(1.8k Reviews),4
184,Glenmark Pharmac...,Public,"Mumbai,Maharashtra + 104 more",45 years old,5k-10k Employees (India),(1.8k Reviews),4.2
185,Bel,Private,"Bangalore/Bengaluru,Karnataka + 28 more",68 years old,5k-10k Employees (India),(1.8k Reviews),4.2
186,ABB Group,Public,Zurich + 84 more,21 years old,5k-10k Employees (India),(1.8k Reviews),4.1
187,Alkem Laboratori...,Public,"Mumbai,Maharashtra + 113 more",49 years old,10k-50k Employees (India),(1.8k Reviews),4.1
188,American Express,Private,"New York City,New York + 34 more",172 years old,10k-50k Employees (India),(1.9k Reviews),4.4
189,Honda Motorcycle...,Private,"Gurgaon/Gurugram,Haryana + 159 more",23 years old,5k-10k Employees (India),(1.8k Reviews),4.2
190,Virtusa Consulti...,Private,"Southborough,Massachusetts + 22 more",26 years old,5k-10k Employees (India),(1.8k Reviews),3.8
191,Deutsche Bank,Private,Frankfurt + 29 more,152 years old,10k-50k Employees (India),(1.7k Reviews),4.3
192,Reliance Nippon ...,Private,"Mumbai,Maharashtra + 371 more",22 years old,10k-50k Employees (India),(1.7k Reviews),3.9
193,Pidilite Industr...,Public,"Mumbai,Maharashtra + 161 more",63 years old,5k-10k Employees (India),(1.8k Reviews),4.4
194,Swiggy,Private,"Bangalore,Karnataka + 122 more",8 years old,1k-5k Employees (India),(1.7k Reviews),4.2
195,Randstad,Private,"Chennai,Tamil Nadu + 191 more",30 years old,1k-5k Employees (India),(1.8k Reviews),4.2
196,Havells,Public,"Noida,Uttar Pradesh + 116 more",39 years old,5k-10k Employees (India),(1.9k Reviews),4.2
197,Standard Charter...,Private,London + 56 more,53 years old,5k-10k Employees (India),(4.1k Reviews),4.2
198,Tata Teleservice...,Public,"Mumbai,Maharashtra + 153 more",26 years old,201-500 Employees (India),(1.7k Reviews),4.1
199,Ipca Laboratorie...,Public,"Mumbai,Maharashtra + 96 more",73 years old,5k-10k Employees (India),(1.7k Reviews),4.1
200,Optum,Private,Minnesota + 19 more,45 years old,1 Lakh+ Employees (Global),(1.7k Reviews),4.1
201,Bajaj Electrical...,Public,"Mumbai,Maharashtra + 159 more",84 years old,5k-10k Employees (India),(1.7k Reviews),4.1
202,DCB Bank,Private,"Mumbai,Maharashtra + 223 more",92 years old,5k-10k Employees (India),(1.7k Reviews),3.9
203,Indian Oil Corpo...,Private,"Delhi/NCR,Delhi + 169 more",63 years old,10k-50k Employees (India),(1.9k Reviews),4.4
204,Titan Company,Public,"Mumbai,Maharashtra + 116 more",4 years old,5k-10k Employees (India),(1.7k Reviews),4.4
205,Future Retail,Public,"San Francisco,California + 182 more",35 years old,10k-50k Employees (India),(4.3k Reviews),4.3
206,State Street Syn...,Private,Mumbai + 11 more,18 years old,501-1k Employees (India),(1.7k Reviews),3.8
207,24/7 Customer,Private,"San Jose,California + 18 more",22 years old,5k-10k Employees (India),(1.7k Reviews),3.6
208,Hindalco Industr...,Public,"Mumbai,Maharashtra + 61 more",64 years old,10k-50k Employees (India),(1.7k Reviews),4.3
209,Tractors and Far...,Public,"Chennai,Tamil Nadu + 130 more",62 years old,5k-10k Employees (India),(1.7k Reviews),4.2
210,PepsiCo,Private,"Harrison,New York + 194 more",33 years old,1 Lakh+ Employees (India),(1.7k Reviews),4.1
211,Huawei Technolog...,Private,"Gurgaon/Gurugram,Haryana + 85 more",20 years old,1k-5k Employees (India),(1.6k Reviews),3.8
212,Conduent,Private,"Florham Park,New Jersey + 17 more",5 years old,5k-10k Employees (India),(1.6k Reviews),3.6
213,Maersk,Private,Copenhagen + 21 more,118 years old,10k-50k Employees (India),(1.6k Reviews),4.4
214,MRF Tyres,Public,"Chennai,Tamil Nadu + 158 more",76 years old,1k-5k Employees (India),(1.7k Reviews),3.7
215,Jindal Steel and...,Private,"Delhi/NCR,New Delhi + 85 more",70 years old,5k-10k Employees (India),(2k Reviews),4
216,Torrent Pharmace...,Public,"Ahmedabad,Gujrat + 84 more",51 years old,5k-10k Employees (India),(1.6k Reviews),4.1
217,Team Lease,Public,"Bangalore/Bengaluru,Karnataka + 173 more",6 years old,1k-5k Employees (India),(1.6k Reviews),4.1
218,Rivigo,Private,"Gurgaon,Haryana + 141 more",8 years old,1k-5k Employees (India),(1.6k Reviews),3.9
219,KocharTech,Private,"Gurgaon/Gurugram,Haryana + 20 more",27 years old,5k-10k Employees (India),(1.6k Reviews),4.4
220,Vishal Mega Mart,Private,"Ahmedabad,Gujrat + 227 more",14 years old,5k-10k Employees (India),(1.6k Reviews),3.9
221,ACC,Public,"Mumbai,Maharashtra + 162 more",86 years old,5k-10k Employees (India),(1.7k Reviews),4.1
222,Radisson Hotels,Private,"Minnetonka,Minnesota + 86 more",113 years old,10k-50k Employees (India),(1.6k Reviews),3.9
223,RSPL Group,Private,"Mumbai,Maharashtra + 129 more",35 years old,1k-5k Employees (India),(1.6k Reviews),4.1
224,Capita,Private,"Indore,Madhya Pradesh + 17 more",17 years old,1k-5k Employees (India),(1.6k Reviews),3.9
225,Ceat Tyres,Public,"Mumbai,Maharashtra + 91 more",64 years old,5k-10k Employees (India),(1.7k Reviews),4.2
226,Dilip Buildcon,Public,"Bhopal,Madhya Pradesh + 132 more",35 years old,10k-50k Employees (India),(1.6k Reviews),4.1
227,KPIT Technologie...,Public,"Pune,Maharashtra + 21 more",32 years old,5k-10k Employees (India),(1.6k Reviews),3.6
