,Company_Name,Company_Type,HeadQuater,Company_Age,Total_employee,reviews,ratings
1957,Wellness Forever...,Private,"Mumbai,Maharashtra + 19 more",14 years old,1k-5k Employees (India),(234 Reviews),4.2
1958,Zara,Private,Â Arteixo + 20 more,48 years old,1k-5k Employees (India),(234 Reviews),3.9
1959,Indian Space Res...,Public,"Bangalore/Bengaluru,Karnataka + 18 more",53 years old,10k-50k Employees (India),(234 Reviews),4.2
1960,Progressive Info...,Private,"Delhi/NCR,Delhi + 45 more",21 years old,1k-5k Employees (India),(234 Reviews),4.3
1961,Darcl Logistics,Private,"Hisar,Haryana + 37 more",47 years old,1k-5k Employees (India),(234 Reviews),4.1
1962,Trianz,Private,"Santa Clara,California + 2 more",16 years old,1k-5k Employees (India),(234 Reviews),4
1963,Nlb Services,Private,"Alpharetta,Georgia + 14 more",15 years old,501-1k Employees (India),(234 Reviews),3.8
1964,Dhani Healthcare,Gurgaon/Gurugram + 54 more,501-1k Employees (India),,,(234 Reviews),3.6
1965,Amazon Logistics,Hyderabad/Secunderabad + 57 more,1 Lakh+ Employees (Global),,,(234 Reviews),4.3
1966,IGT,Private,"Gurgaon/Gurugram,Haryana + 6 more",24 years old,501-1k Employees (India),(233 Reviews),3.6
1967,S2 Infotech,Public,"Mumbai,Maharashtra + 45 more",17 years old,10k-50k Employees (Global),(233 Reviews),3.3
1968,Morepen Laborato...,Public,"Baddi,Himachal Pradesh + 22 more",38 years old,1k-5k Employees (India),(233 Reviews),3.7
1969,Time Technoplast,Public,"Mumbai,Maharashtra + 28 more",30 years old,1k-5k Employees (India),(233 Reviews),3.3
1970,Quislex Legal Se...,Private,"New York,New York + 3 more",18 years old,501-1k Employees (India),(233 Reviews),3.2
1971,P.D. Hinduja Nat...,NGO/NPO,"Mumbai,Maharashtra + 10 more",71 years old,1k-5k Employees (India),(233 Reviews),4.1
1972,Ryan,Private,"Dallas,Texas + 3 more",31 years old,501-1k Employees (India),(233 Reviews),4.5
1973,Zycus Infotech,Private,"Princeton,New Jersey + 4 more",25 years old,1k-5k Employees (India),(233 Reviews),3.6
1974,Maxgen Technolog...,Private,"Mumbai,Maharashtra + 5 more",9 years old,201-500 Employees (India),(233 Reviews),4.5
1975,Black Knight,Private,"Jacksonville,Florida + 2 more",8 years old,501-1k Employees (India),(233 Reviews),3.4
1976,Paharpur Cooling...,Private,"Kolkata,West Bengal + 29 more",74 years old,501-1k Employees (India),(297 Reviews),4
1977,Nivea,Private,Hamburg + 34 more,140 years old,201-500 Employees (India),(232 Reviews),4.2
1978,SRM University,Private,Chennai + 20 more,37 years old,1k-5k Employees (India),(232 Reviews),3.9
1979,Aurigo,Private,"Austin,Texas + 2 more",19 years old,201-500 Employees (India),(232 Reviews),4.9
1980,Vectus Industrie...,Private,"Noida,Uttar Pradesh + 38 more",18 years old,1k-5k Employees (India),(232 Reviews),4.2
1981,ICON Clinical Re...,Public,Dublin + 4 more,32 years old,1k-5k Employees (India),(232 Reviews),4.1
1982,Carrier,Private,"Charlotte,North Carolina + 33 more",107 years old,501-1k Employees (India),(232 Reviews),3.9
1983,Appsierra,Private,"Noida,Uttar Pradesh + 6 more",7 years old,51-200 Employees (India),(231 Reviews),4.9
1984,Victora Tool Eng...,Private,"Faridabad,Haryana + 7 more",50 years old,201-500 Employees (India),(231 Reviews),3.9
1985,JM Financial,Public,"Mumbai,Maharashtra + 39 more",38 years old,1k-5k Employees (India),(231 Reviews),4.2
1986,Birla Tyres,Private,"Kolkata,West Bengal + 58 more",31 years old,1k-5k Employees (India),(231 Reviews),3.4
1987,Sakthi Auto Comp...,"Coimbatore,Tamil Nadu + 7 more",39 years old,501-1k Employees (India),,(231 Reviews),3.5
1988,GSH Group,Private,"Parsippany,New Jersey + 28 more",127 years old,501-1k Employees (India),(231 Reviews),4.2
1989,Mott MacDonald,"Croydon,Surrey + 22 more",120 years old,1k-5k Employees (India),,(231 Reviews),4.3
1990,Siemens Energy,Private,Munich + 17 more,175 years old,1k-5k Employees (India),(4.3k Reviews),4.2
1991,Surin Automotive,Private,"Bangalore/Bengaluru,Karnataka + 15 more",48 years old,201-500 Employees (India),(230 Reviews),3.5
